Jogador,Grau Saída (Fez),Grau Entrada (Recebeu),Saldo,Total
Lionel Andrés Messi Cuccittini,8,9,-1,17
Rodrigo Javier De Paul,6,4,2,10
Ángel Fabián Di María Hernández,6,3,3,9
Alexis Mac Allister,3,5,-2,8
Julián Álvarez,4,3,1,7
Enzo Fernandez,3,3,0,6
Lautaro Javier Martínez,1,5,-4,6
Gonzalo Ariel Montiel,2,2,0,4
Marcos Javier Acuña,2,1,1,3
Nicolás Alejandro Tagliafico,1,1,0,2
