Jogador,Grau Saída (Fez),Grau Entrada (Recebeu),Saldo,Total
Kylian Mbappé Lottin,3,2,1,5
Adrien Rabiot,2,2,0,4
Marcus Thuram,1,3,-2,4
Randal Kolo Muani,0,4,-4,4
Antoine Griezmann,2,0,2,2
Eduardo Camavinga,1,0,1,1
Ibrahima Konaté,1,0,1,1
Jules Koundé,1,0,1,1
Raphaël Varane,0,1,-1,1
Kingsley Coman,1,0,1,1
Dayotchanculle Upamecano,0,1,-1,1
Theo Bernard François Hernández,1,0,1,1
