Jogador,Grau Saída (Fez),Grau Entrada (Recebeu),Saldo,Total
Walid Cheddira,1,3,-2,4
Youssef En-Nesyri,0,4,-4,4
Achraf Hakimi Mouh,3,0,3,3
Abdessamad Ezzalzouli,1,1,0,2
Azzedine Ounahi,1,1,0,2
Hakim Ziyech,1,1,0,2
Sofiane Boufal,2,0,2,2
Sofyan Amrabat,2,0,2,2
Noussair Mazraoui,1,0,1,1
Nayef Aguerd,0,1,-1,1
Abdelhamid Sabiri,0,1,-1,1
